battery_type,voltage,internal_resistance,temperature,cycle_count,capacity_remaining,age_months,leakage_detected,class_label,pulse_voltage,pulse_duration,safety_margin,action_suggestion
AA,1.4,0.25,32,123,78,12,0,2,1.6,750,15,Reuse
Li-ion,3.8,0.15,28,456,85,24,0,2,4.2,650,18,Reuse
AAA,1.2,0.35,35,89,65,8,0,1,1.5,820,12,Recharge
Laptop,11.5,0.45,42,234,92,18,0,2,12.0,600,22,Reuse
AA,0.9,0.65,38,445,32,28,0,1,1.7,950,8,Revive
Li-ion,3.2,0.22,31,789,78,36,0,2,4.0,680,16,Reuse
AAA,0.8,0.48,29,156,41,15,0,1,1.6,880,10,Revive
Laptop,10.2,0.72,45,567,56,42,0,1,12.5,1100,14,Recharge
AA,1.5,0.18,25,78,88,6,0,2,1.6,520,20,Reuse
Li-ion,4.1,0.12,22,234,94,12,0,2,4.3,580,25,Reuse
AAA,1.3,0.31,33,112,72,11,0,2,1.5,710,17,Reuse
Laptop,12.1,0.38,39,189,89,15,0,2,12.2,620,19,Reuse
AA,0.8,0.58,41,389,28,32,0,0,1.8,1050,6,Revive
Li-ion,2.9,0.42,48,912,45,48,0,1,4.4,920,11,Revive
AAA,1.1,0.41,27,198,58,18,0,1,1.6,760,13,Recharge
Laptop,11.8,0.29,35,145,91,21,0,2,11.9,590,21,Reuse
AA,1.2,0.33,30,267,69,16,0,2,1.5,680,16,Reuse
Li-ion,3.6,0.19,26,345,83,28,0,2,4.1,630,18,Reuse
AAA,0.9,0.52,36,234,38,22,0,1,1.7,900,9,Revive
Laptop,10.8,0.61,44,423,62,38,0,1,12.3,980,12,Recharge
AA,1.3,0.28,29,156,76,14,0,2,1.5,640,17,Reuse
Li-ion,3.9,0.16,24,189,87,20,0,2,4.2,610,23,Reuse
AAA,1.4,0.26,31,98,82,9,0,2,1.4,580,19,Reuse
Laptop,11.2,0.47,37,298,74,25,0,2,11.8,740,15,Reuse
AA,0.7,0.71,43,498,22,35,1,0,1.9,1200,5,Replace
Li-ion,3.4,0.25,33,567,71,32,0,2,4.0,670,16,Reuse
AAA,1.0,0.44,28,167,48,19,0,1,1.6,830,11,Revive
Laptop,12.0,0.34,40,201,88,17,0,2,12.1,600,20,Reuse
AA,1.1,0.39,34,334,54,24,0,1,1.6,780,13,Recharge
Li-ion,4.0,0.13,21,298,92,16,0,2,4.3,560,24,Reuse
AAA,1.5,0.23,32,76,86,7,0,2,1.4,540,21,Reuse
Laptop,10.5,0.68,46,489,58,45,0,1,12.4,1020,10,Recharge
AA,0.9,0.56,39,412,35,29,0,1,1.7,920,8,Revive
Li-ion,3.7,0.18,27,423,79,26,0,2,4.1,650,17,Reuse
AAA,1.2,0.37,30,145,63,13,0,2,1.5,720,14,Reuse
Laptop,11.6,0.42,36,234,85,22,0,2,11.9,660,18,Reuse
AA,1.4,0.21,26,89,84,10,0,2,1.5,570,19,Reuse
Li-ion,3.1,0.38,45,734,52,41,0,1,4.2,860,12,Revive
AAA,0.8,0.49,33,189,42,20,0,1,1.7,870,10,Revive
Laptop,10.9,0.55,41,356,67,33,0,1,12.2,940,13,Recharge
AA,1.3,0.30,28,198,73,15,0,2,1.5,650,16,Reuse
Li-ion,3.8,0.14,23,267,89,18,0,2,4.2,590,22,Reuse
AAA,1.1,0.42,35,123,59,17,0,1,1.6,790,12,Recharge
Laptop,11.9,0.36,38,178,90,19,0,2,12.0,620,20,Reuse
AA,0.8,0.63,42,456,26,31,0,0,1.8,1080,7,Revive
Li-ion,4.2,0.11,20,156,95,14,0,2,4.4,550,25,Reuse
AAA,1.4,0.27,29,87,81,8,0,2,1.4,600,18,Reuse
Laptop,10.7,0.59,43,445,61,39,0,1,12.3,970,11,Recharge
AA,1.2,0.34,31,289,68,17,0,2,1.5,700,15,Reuse
Li-ion,3.5,0.24,34,512,76,30,0,2,4.0,710,16,Reuse
AAA,0.9,0.46,27,156,45,21,0,1,1.6,850,10,Revive
Laptop,11.3,0.48,35,267,78,27,0,2,11.8,780,14,Reuse
AA,1.5,0.19,25,112,87,11,0,2,1.6,530,21,Reuse
Li-ion,3.9,0.17,26,334,86,22,0,2,4.2,620,19,Reuse
AAA,1.3,0.32,33,98,74,12,0,2,1.5,680,17,Reuse
Laptop,12.2,0.31,37,189,93,16,0,2,12.1,610,23,Reuse
AA,0.7,0.69,44,534,24,36,1,0,1.9,1150,5,Replace
Li-ion,3.3,0.29,32,623,64,34,0,1,4.1,730,14,Recharge
AAA,1.0,0.43,28,178,51,18,0,1,1.6,820,11,Recharge
Laptop,10.4,0.66,47,523,55,46,0,1,12.4,1040,9,Recharge
AA,1.1,0.36,36,378,57,25,0,1,1.6,760,12,Recharge
Li-ion,4.1,0.12,22,223,91,17,0,2,4.3,580,24,Reuse
AAA,1.4,0.24,30,89,83,9,0,2,1.4,560,20,Reuse
Laptop,11.7,0.41,39,201,87,20,0,2,11.9,670,18,Reuse
AA,0.9,0.54,40,445,37,30,0,1,1.7,900,8,Revive
Li-ion,3.6,0.20,25,389,82,24,0,2,4.1,640,17,Reuse
AAA,1.2,0.38,32,134,65,14,0,2,1.5,730,15,Reuse
Laptop,11.0,0.52,42,312,71,35,0,2,12.0,890,13,Reuse
AA,1.3,0.29,27,167,75,13,0,2,1.5,660,16,Reuse
Li-ion,3.7,0.15,24,298,88,19,0,2,4.2,600,21,Reuse
AAA,0.8,0.50,34,189,44,19,0,1,1.7,880,10,Revive
Laptop,10.6,0.63,45,456,60,41,0,1,12.3,1000,11,Recharge
AA,1.4,0.22,28,123,85,12,0,2,1.5,590,19,Reuse
Li-ion,4.0,0.13,21,234,93,15,0,2,4.3,570,23,Reuse
AAA,1.1,0.40,31,156,61,16,0,1,1.6,800,12,Recharge
Laptop,11.8,0.37,36,178,89,18,0,2,12.0,640,19,Reuse
AA,0.8,0.61,41,467,29,32,0,0,1.8,1060,7,Revive
Li-ion,3.4,0.26,35,578,69,31,0,2,4.0,720,15,Reuse
AAA,1.5,0.25,29,78,84,8,0,2,1.4,550,20,Reuse
Laptop,10.8,0.56,43,389,63,37,0,1,12.2,950,12,Recharge
AA,1.2,0.33,30,289,70,17,0,2,1.5,690,16,Reuse
Li-ion,3.8,0.16,26,345,85,21,0,2,4.2,610,20,Reuse
AAA,0.9,0.45,33,167,47,20,0,1,1.6,860,10,Revive
Laptop,11.4,0.44,38,245,79,26,0,2,11.8,760,15,Reuse
AA,1.3,0.27,25,134,77,14,0,2,1.5,620,17,Reuse
Li-ion,3.9,0.18,23,267,87,18,0,2,4.2,630,21,Reuse
AAA,1.4,0.28,32,89,80,10,0,2,1.4,610,18,Reuse
Laptop,12.0,0.35,37,189,91,17,0,2,12.1,650,22,Reuse
AA,0.7,0.72,43,512,23,34,1,0,1.9,1180,5,Replace
Li-ion,3.2,0.31,36,689,58,36,0,1,4.1,750,13,Recharge
AAA,1.0,0.41,27,178,53,18,0,1,1.6,830,11,Recharge
Laptop,10.3,0.67,46,534,56,44,0,1,12.4,1030,10,Recharge
AA,1.1,0.35,35,389,59,26,0,1,1.6,770,13,Recharge
Li-ion,4.1,0.14,22,212,92,16,0,2,4.3,590,24,Reuse
AAA,1.3,0.30,31,98,75,11,0,2,1.5,670,16,Reuse
Laptop,11.6,0.40,39,201,88,21,0,2,11.9,660,19,Reuse
AA,0.9,0.53,39,434,38,29,0,1,1.7,910,9,Revive
Li-ion,3.7,0.19,25,356,84,23,0,2,4.1,650,18,Reuse
AAA,1.2,0.36,30,123,66,15,0,2,1.5,720,14,Reuse
Laptop,11.1,0.49,41,289,72,32,0,2,12.0,860,14,Reuse
AA,1.4,0.23,28,145,83,13,0,2,1.5,580,20,Reuse
Li-ion,3.6,0.21,27,323,81,25,0,2,4.1,640,17,Reuse
AAA,0.8,0.47,34,189,46,19,0,1,1.7,870,10,Revive
Laptop,10.7,0.60,44,445,62,38,0,1,12.3,980,12,Recharge
AA,1.3,0.28,29,198,76,16,0,2,1.5,650,16,Reuse
Li-ion,4.0,0.12,21,234,94,14,0,2,4.3,560,25,Reuse
AAA,1.1,0.39,32,156,62,17,0,1,1.6,790,12,Recharge
Laptop,11.9,0.33,38,167,90,19,0,2,12.0,630,21,Reuse
AA,0.8,0.65,42,489,27,33,0,0,1.8,1070,6,Revive
Li-ion,3.5,0.23,33,567,73,29,0,2,4.0,690,16,Reuse
AAA,1.5,0.24,30,87,85,9,0,2,1.4,550,20,Reuse
Laptop,10.5,0.64,45,412,59,43,0,1,12.4,1010,11,Recharge
AA,1.2,0.32,31,267,71,18,0,2,1.5,700,15,Reuse
Li-ion,3.8,0.17,24,298,86,20,0,2,4.2,620,19,Reuse
AAA,0.9,0.44,28,178,49,21,0,1,1.6,850,10,Revive
Laptop,11.3,0.46,36,234,77,28,0,2,11.8,770,15,Reuse
AA,1.4,0.20,26,112,86,12,0,2,1.5,570,20,Reuse
Li-ion,3.9,0.15,23,245,89,17,0,2,4.2,600,22,Reuse
AAA,1.3,0.31,33,123,73,13,0,2,1.5,680,17,Reuse
Laptop,12.1,0.32,37,178,92,16,0,2,12.1,620,23,Reuse
AA,0.7,0.70,44,523,25,35,1,0,1.9,1160,5,Replace
Li-ion,3.3,0.27,34,612,67,33,0,1,4.1,730,14,Recharge
AAA,1.0,0.41,27,178,53,18,0,1,1.6,820,11,Recharge
Laptop,10.4,0.65,47,534,56,44,0,1,12.4,1020,10,Recharge
AA,1.1,0.35,35,389,59,26,0,1,1.6,770,13,Recharge
Li-ion,4.1,0.14,22,212,92,16,0,2,4.3,590,24,Reuse
AAA,1.3,0.30,31,98,75,11,0,2,1.5,670,16,Reuse
Laptop,11.6,0.40,39,201,88,21,0,2,11.9,660,19,Reuse
AA,0.9,0.53,39,434,38,29,0,1,1.7,910,9,Revive
Li-ion,3.7,0.19,25,356,84,23,0,2,4.1,650,18,Reuse
AAA,1.2,0.36,30,123,66,15,0,2,1.5,720,14,Reuse
Laptop,11.1,0.49,41,289,72,32,0,2,12.0,860,14,Reuse
AA,1.4,0.23,28,145,83,13,0,2,1.5,580,20,Reuse
Li-ion,3.6,0.21,27,323,81,25,0,2,4.1,640,17,Reuse
AAA,0.8,0.47,34,189,46,19,0,1,1.7,870,10,Revive
Laptop,10.7,0.60,44,445,62,38,0,1,12.3,980,12,Recharge
AA,1.3,0.28,29,198,76,16,0,2,1.5,650,16,Reuse
Li-ion,4.0,0.12,21,234,94,14,0,2,4.3,560,25,Reuse
AAA,1.1,0.39,32,156,62,17,0,1,1.6,790,12,Recharge
Laptop,11.9,0.33,38,167,90,19,0,2,12.0,630,21,Reuse
AA,0.8,0.67,42,501,28,33,0,0,1.8,1070,6,Revive
Li-ion,3.5,0.23,33,567,73,29,0,2,4.0,690,16,Reuse
AAA,1.5,0.24,30,87,85,9,0,2,1.4,540,21,Reuse
Laptop,10.5,0.64,45,412,59,43,0,1,12.4,1010,11,Recharge
AA,1.2,0.32,31,267,71,18,0,2,1.5,700,15,Reuse
Li-ion,3.8,0.17,24,298,86,20,0,2,4.2,620,19,Reuse
AAA,0.9,0.44,28,178,49,21,0,1,1.6,850,10,Revive
Laptop,11.3,0.46,36,234,77,28,0,2,11.8,770,15,Reuse
AA,1.4,0.20,26,112,86,12,0,2,1.5,570,20,Reuse
Li-ion,3.9,0.15,23,245,89,17,0,2,4.2,600,22,Reuse
AAA,1.3,0.31,33,123,73,13,0,2,1.5,680,17,Reuse
Laptop,12.1,0.33,37,178,92,16,0,2,12.1,620,24,Reuse
AA,0.7,0.70,44,523,25,35,1,0,1.9,1160,5,Replace
Li-ion,3.3,0.27,34,612,67,33,0,1,4.1,730,14,Recharge
AAA,1.0,0.42,29,189,54,18,0,1,1.6,820,11,Recharge
Laptop,10.4,0.65,47,501,57,45,0,1,12.4,1020,10,Recharge
AA,1.1,0.37,37,378,58,27,0,1,1.6,780,13,Recharge
Li-ion,4.2,0.11,20,189,96,13,0,2,4.4,540,26,Reuse
AAA,1.4,0.26,31,76,82,8,0,2,1.4,570,19,Reuse
Laptop,11.7,0.39,38,198,88,22,0,2,11.9,650,20,Reuse
AA,0.9,0.55,40,456,36,31,0,1,1.7,920,8,Revive
Li-ion,3.6,0.22,26,334,80,26,0,2,4.1,660,18,Reuse
AAA,1.2,0.35,32,134,67,16,0,2,1.5,740,14,Reuse
Laptop,11.0,0.51,43,298,73,34,0,2,12.0,880,13,Reuse
AA,1.3,0.24,27,156,78,15,0,2,1.5,630,17,Reuse
Li-ion,3.7,0.18,25,289,87,19,0,2,4.2,610,20,Reuse
AAA,0.8,0.48,35,189,45,20,0,1,1.7,860,10,Revive
Laptop,10.6,0.62,44,423,61,40,0,1,12.3,990,12,Recharge
AA,1.4,0.21,28,123,84,11,0,2,1.5,580,19,Reuse
Li-ion,4.0,0.13,22,223,93,15,0,2,4.3,570,24,Reuse
AAA,1.1,0.38,30,145,63,17,0,1,1.6,790,12,Recharge
Laptop,11.8,0.36,39,189,89,18,0,2,12.0,640,21,Reuse
AA,0.8,0.59,41,478,30,32,0,0,1.8,1050,7,Revive
Li-ion,3.4,0.25,35,589,70,32,0,2,4.0,710,15,Reuse
AAA,1.5,0.23,29,89,87,7,0,2,1.4,550,21,Reuse
Laptop,10.8,0.57,42,378,64,36,0,1,12.2,960,12,Recharge
AA,1.2,0.30,30,245,72,17,0,2,1.5,680,16,Reuse
Li-ion,3.8,0.16,24,312,88,21,0,2,4.2,600,20,Reuse
AAA,0.9,0.43,33,167,50,19,0,1,1.6,840,10,Revive
Laptop,11.4,0.45,37,256,78,25,0,2,11.8,750,15,Reuse
AA,1.3,0.26,25,134,79,14,0,2,1.5,620,18,Reuse
Li-ion,3.9,0.17,23,267,86,18,0,2,4.2,630,21,Reuse
AAA,1.4,0.29,32,98,81,10,0,2,1.4,600,18,Reuse
Laptop,12.0,0.34,38,178,91,17,0,2,12.1,650,22,Reuse
AA,0.7,0.74,45,545,22,36,1,0,1.9,1200,4,Replace
Li-ion,3.1,0.33,37,701,56,37,0,1,4.2,770,12,Revive
AAA,1.0,0.40,28,189,55,18,0,1,1.6,810,11,Recharge
Laptop,10.2,0.68,48,523,54,46,0,1,12.4,1050,9,Recharge
AA,1.1,0.34,36,389,60,28,0,1,1.6,760,13,Recharge
Li-ion,4.1,0.12,21,201,94,14,0,2,4.3,560,25,Reuse
AAA,1.3,0.27,31,87,76,11,0,2,1.5,660,17,Reuse
Laptop,11.6,0.38,40,189,87,20,0,2,11.9,660,19,Reuse
AA,0.9,0.52,38,445,39,30,0,1,1.7,900,9,Revive
Li-ion,3.6,0.20,26,345,83,24,0,2,4.1,640,18,Reuse
AAA,1.2,0.33,30,123,68,15,0,2,1.5,710,15,Reuse
Laptop,11.1,0.48,41,267,74,31,0,2,12.0,850,14,Reuse
AA,1.4,0.22,27,145,85,13,0,2,1.5,580,20,Reuse
Li-ion,3.7,0.19,25,298,85,22,0,2,4.2,620,19,Reuse
AAA,0.8,0.46,34,178,47,20,0,1,1.7,870,10,Revive
Laptop,10.7,0.61,43,434,63,39,0,1,12.3,980,12,Recharge
AA,1.3,0.25,29,189,77,16,0,2,1.5,640,17,Reuse
Li-ion,4.0,0.14,22,234,92,16,0,2,4.3,580,23,Reuse
AAA,1.1,0.37,32,156,64,17,0,1,1.6,780,13,Recharge
Laptop,11.9,0.31,38,167,90,19,0,2,12.0,630,21,Reuse
AA,0.8,0.67,42,501,28,34,0,0,1.8,1080,6,Revive
Li-ion,3.5,0.24,33,578,72,30,0,2,4.0,700,16,Reuse
AAA,1.5,0.22,30,76,88,8,0,2,1.4,530,22,Reuse
Laptop,10.5,0.63,45,412,60,42,0,1,12.4,1000,11,Recharge
AA,1.2,0.31,31,278,73,18,0,2,1.5,690,16,Reuse
Li-ion,3.8,0.15,24,289,89,19,0,2,4.2,600,21,Reuse
AAA,0.9,0.41,28,189,52,21,0,1,1.6,830,11,Recharge
Laptop,11.3,0.47,36,245,76,27,0,2,11.8,770,15,Reuse
AA,1.4,0.23,26,112,86,12,0,2,1.5,570,20,Reuse
Li-ion,3.9,0.17,23,256,88,17,0,2,4.2,610,22,Reuse
AAA,1.3,0.28,33,134,74,14,0,2,1.5,670,16,Reuse
Laptop,12.1,0.33,37,178,93,16,0,2,12.1,620,24,Reuse 